,Time,Country,Old to Working Age Dependency Ratio
614,1960,India,5.857959319193337
615,1961,India,5.958138188337885
616,1962,India,6.093581816606001
617,1963,India,6.245368940792202
618,1964,India,6.372432163572997
619,1965,India,6.454762988796918
620,1966,India,6.502450754359905
621,1967,India,6.5196210895245885
622,1968,India,6.523288221671093
623,1969,India,6.532980248643411
624,1970,India,6.550783811043251
625,1971,India,6.583749333049433
626,1972,India,6.6375023637943915
627,1973,India,6.706056251354912
628,1974,India,6.781423140810065
629,1975,India,6.856545405789472
630,1976,India,6.926857341957435
631,1977,India,6.981858729902952
632,1978,India,7.017925909095883
633,1979,India,7.041042015802248
634,1980,India,7.052676782141153
635,1981,India,7.056310575517647
636,1982,India,7.0555999471167645
637,1983,India,7.05076345911919
638,1984,India,7.044254990905759
639,1985,India,7.038780293631095
640,1986,India,7.034897821524333
641,1987,India,7.032421513363767
642,1988,India,7.031143266303876
643,1989,India,7.03307356018091
644,1990,India,7.041142218426572
645,1991,India,7.057292021106621
646,1992,India,7.081507255244017
647,1993,India,7.112683741026542
648,1994,India,7.148487729202121
649,1995,India,7.187811404973142
650,1996,India,7.230644379367648
651,1997,India,7.276607025470497
652,1998,India,7.326148301165519
653,1999,India,7.378549631525278
654,2000,India,7.432918776419799
655,2001,India,7.490271287801269
656,2002,India,7.553278334655572
657,2003,India,7.617674715791906
658,2004,India,7.6732458338221985
659,2005,India,7.719547227105508
660,2006,India,7.759990265126966
661,2007,India,7.795959076346888
662,2008,India,7.832250058746412
663,2009,India,7.872998837991557
664,2010,India,7.92113529275557
665,2011,India,7.982798322304922
666,2012,India,8.063941913001958
667,2013,India,8.170186842646126
668,2014,India,8.344086980721249
669,2015,India,8.581601619293348
670,2016,India,8.835540410941421
671,2017,India,9.102562914586803
672,2018,India,9.382287942537157
673,2019,India,9.66927189683547
674,2020,India,9.926780750560903
675,2021,India,10.076240902894945
676,2022,India,10.172157941479497
677,2023,India,10.395947689312832
678,2024,India,10.723299367409185
679,2025,India,11.052900698614037
680,2026,India,11.38860421480854
681,2027,India,11.730191771538342
682,2028,India,12.077778121022932
683,2029,India,12.433507191730078
684,2030,India,12.793396439155138
685,2031,India,13.153794833188096
686,2032,India,13.523319317882656
687,2033,India,13.904930094083745
688,2034,India,14.295562692983127
689,2035,India,14.697217321819956
690,2036,India,15.113082194989449
691,2037,India,15.542405860877212
692,2038,India,15.98499464588976
693,2039,India,16.44129126087358
694,2040,India,16.903031923669808
695,2041,India,17.373172099441543
696,2042,India,17.85044711141377
697,2043,India,18.329866976266477
698,2044,India,18.827115378376785
699,2045,India,19.354149209491432
700,2046,India,19.91195003577874
701,2047,India,20.492113415115412
702,2048,India,21.09228757319735
703,2049,India,21.719797693291845
704,2050,India,22.36987001084903
705,2051,India,23.047141046354945
706,2052,India,23.742821577954256
707,2053,India,24.444250870340714
708,2054,India,25.15806996656939
709,2055,India,25.876390663626808
710,2056,India,26.605339246712155
711,2057,India,27.35245210776131
712,2058,India,28.10916323566644
713,2059,India,28.878036751421064
714,2060,India,29.663078739447847
715,2061,India,30.457115150846718
716,2062,India,31.257812604812486
717,2063,India,32.066418118573345
718,2064,India,32.88155672237394
719,2065,India,33.71474745354605
720,2066,India,34.57855006184079
721,2067,India,35.451892356591614
722,2068,India,36.30915048016006
723,2069,India,37.14569363977612
724,2070,India,37.950468020036624
725,2071,India,38.71541221407127
726,2072,India,39.45423529569266
727,2073,India,40.181619347318225
728,2074,India,40.90817460265205
729,2075,India,41.62828962104042
730,2076,India,42.32801458633006
731,2077,India,43.00155998195798
732,2078,India,43.646833442608276
733,2079,India,44.23139842002767
734,2080,India,44.767374737540955
735,2081,India,45.30553975796
736,2082,India,45.81606291408141
737,2083,India,46.295271310870476
738,2084,India,46.73857554765197
739,2085,India,47.12271074361204
740,2086,India,47.485754588202646
741,2087,India,47.8522114164277
742,2088,India,48.223900170690825
743,2089,India,48.60430151084017
744,2090,India,48.99394511394875
745,2091,India,49.385342027698464
746,2092,India,49.777570472181644
747,2093,India,50.17667276952695
748,2094,India,50.57711469542991
749,2095,India,50.9811197158228
750,2096,India,51.38693869893144
751,2097,India,51.790940892051985
752,2098,India,52.19171684839674
753,2099,India,52.58849611059687
754,2100,India,52.98335048998853
755,1950,Indonesia,3.0619280712301156
756,1951,Indonesia,3.159615957761417
757,1952,Indonesia,3.2601246344114583
758,1953,Indonesia,3.3644793825911083
759,1954,Indonesia,3.472763809757634
760,1955,Indonesia,3.585208457229501
761,1956,Indonesia,3.702743962235856
762,1957,Indonesia,3.8257018258680935
763,1958,Indonesia,3.954474016941184
764,1959,Indonesia,4.089647328004878
765,1960,Indonesia,4.231069094218722
766,1961,Indonesia,4.376526371862247
767,1962,Indonesia,4.523819744512845
768,1963,Indonesia,4.672288769643862
769,1964,Indonesia,4.823250496950345
770,1965,Indonesia,4.953862670501477
771,1966,Indonesia,5.089884595943466
772,1967,Indonesia,5.253115479781485
773,1968,Indonesia,5.412022655177725
774,1969,Indonesia,5.561730237120183
775,1970,Indonesia,5.700707138591712
776,1971,Indonesia,5.827796880103783
777,1972,Indonesia,5.947395019979386
778,1973,Indonesia,6.06138899518542
779,1974,Indonesia,6.167950796529167
